Problem name: gauci_problem
	C++ class name: gauci_problem

	Global dimension:			2
	Integer dimension:			0
	Fitness dimension:			1
	Number of objectives:			1
	Equality constraints dimension:		0
	Inequality constraints dimension:	0
	Lower bounds: [-1, -1]
	Upper bounds: [1, 1]
	Has batch fitness evaluation: false

	Has gradient: false
	User implemented gradient sparsity: false
	Has hessians: false
	User implemented hessians sparsity: false

	Fitness evaluations: 0

	Thread safety: basic

CMAES 4 PaGMO: 
mu: CMAES 4 PaGMO: 5 - lambda: 10 - mueff: 
3.1673 - N: 2mu: 
CMAES 4 PaGMO: CMAES 4 PaGMO: 5
mu:  - lambda: 10 - mueff: 5 - lambda: 10 - mueff: cc: 
0.609083 - cs: 0.508227 - c1: 0.142275 - cmu: 0.154745 - sigma: 0.5 - damps: mu: 1.50823 - chiN: 3.16735 - lambda: 10 - mueff:  - N: 3.1673 - N: 3.16732 - N: 
2
cc: 0.609083 - cs: 1.254270.508227 - c1: 0.142275 - cmu: 
2
cc: 0.609083 - cs: 0.154745 - sigma: 0.5 - damps: 1.50823 - chiN: cc: 1.25427
0.508227 - c1: 0.142275 - cmu: 0.154745 - sigma: 0.5 - damps: 1.50823 - chiN: 1.25427
0.609083 - cs: 0.508227 - c1: 0.142275 - cmu: 0.154745 - sigma: 0.5 - damps: 1.50823 - chiN: 1.25427


   Gen:      
Gen:        Fevals:        Fevals:          Best:            dx:            df:         sigma:
      1          Best:            dx:            df:         sigma:              
   Gen:        Fevals:          Best:            dx:            df:         sigma:

1      0      1              0    1.03482e+090       0.747463       1.04562e+09Gen:     2.9212e+08    1.06194e+09       0.747463    2.48253e+08            0.5
0.5
        Fevals:          Best:            dx:            df:       0.747463    2.59505e+08            0.5
         sigma:
     20            190    1.08803e+09       0.109613    2.21585e+08       0.238457
     20            190    1.06301e+09       0.977462    3.39428e+08       0.933455
     21            200    1.08739e+09       0.125558    1.61842e+08       0.141425
     21            200    1.06666e+09       0.121865    2.26585e+08       0.222943
     21            200    1.05326e+09       0.109059    1.88942e+08       0.196562
     21            200    1.08341e+09       0.978115    1.74459e+08       0.760238
     22            210    1.05857e+09       0.032502    2.38127e+08       0.107094
     22            210     1.0505e+09      0.0581208     2.1028e+08       0.198085
     22            210    1.04126e+09      0.0555175    1.65756e+08       0.193012
     22            210    1.04922e+09       0.331869    1.74814e+08       0.751571
     23            220    1.01402e+09       0.237756    1.88699e+08       0.105953
     23            220    1.12186e+09       0.472033    1.00792e+08       0.248624
     23            220    1.04641e+09       0.220113    1.89528e+08       0.167601
     23            220    1.09982e+09        1.94294    1.36412e+08       0.676948
     24            230    1.10532e+09      0.0761418    1.27001e+08      0.0952819
     24            230    1.09599e+09       0.142492    1.73526e+08       0.208089
     24            230    1.06522e+09      0.0761667     1.6211e+08       0.155712
     24            230    1.12801e+09       0.674161      1.064e+08       0.619712
     25            240    1.06922e+09      0.0150549    1.44914e+08       0.102594
     25            240    1.10509e+09      0.0289103    8.41411e+07       0.222051
     25            240    9.98797e+08      0.0112689    2.21686e+08       0.133575
     25            240    1.09917e+09       0.115484    1.12246e+08         0.5763
     26            250    1.10963e+09      0.0565255    1.84875e+08      0.0877394
     26            250    1.08345e+09       0.160663    8.63058e+07       0.249867
     26            250    1.09874e+09      0.0437614    1.11471e+08       0.107577
     26            250    1.09757e+09       0.357985     1.2253e+08       0.439603
     27            260    1.09121e+09      0.0638533    1.28351e+08      0.0881303
     27            260    1.07115e+09       0.221053    1.81992e+08       0.290481
     27            260    1.08329e+09      0.0731896    1.57448e+08       0.111659
     27            260    1.10584e+09       0.479659    9.50195e+07       0.500022
     28            270    1.13267e+09        0.25965      9.061e+07       0.385729
     28            270    1.09535e+09      0.0561609    1.07949e+08      0.0921485
     28            270    1.10711e+09      0.0279337    1.30316e+08      0.0906621
     28            270    1.02912e+09       0.296142    2.04966e+08       0.387613
     29            280    1.08945e+09       0.122249    1.07858e+08      0.0804863
     29            280    1.06448e+09       0.713931    1.79273e+08       0.416951
     29            280    1.12566e+09      0.0942134    1.01342e+08      0.0918874
     29            280    1.07649e+09       0.722151    1.59464e+08       0.351115
     30            290    1.06489e+09       0.111758    1.51078e+08       0.101487
     30            290    1.05548e+09       0.794711    1.32363e+08       0.706585
     30            290    1.07055e+09       0.035027    1.35035e+08      0.0671945
     30            290    1.06132e+09       0.544582    1.77763e+08       0.397883
     31            300    1.03985e+09        1.41914    1.61656e+08       0.712063
     31            300    1.11857e+09       0.269048    8.56876e+07       0.130614
     31            300    1.04382e+09      0.0629693    1.82755e+08      0.0681853
     31            300    1.15412e+09       0.731551    9.08259e+07         0.3306
     32            310    1.08124e+09       0.367464    9.86524e+07       0.581913
     32            310    1.08191e+09       0.119854    1.23017e+08       0.147597
     32            310     1.0496e+09      0.0266425    1.73771e+08      0.0843868
     32            310    1.01248e+09       0.196422    1.96304e+08       0.280176
     33            320    1.13647e+09       0.391976    7.17332e+07       0.460458
     33            320    1.09797e+09       0.188586    1.52872e+08       0.151303
