10 -3.512 -4.28 -0.443 0.401 2.344
20 -3.473 -3.913 -0.257 0.449 2.386
30 -3.432 -3.944 -1.182 0.101 2.054
40 -3.664 -4.423 -0.973 0.235 1.786
50 -3.718 -4.616 -0.745 0.138 1.978
60 -3.836 -4.408 -1.656 0.27 2.193
70 -3.767 -4.263 -1.434 0.333 2.616
80 -3.465 -4.05 -1.195 0.38 2.66
90 -3.256 -3.657 -0.963 0.424 2.704
100 -2.976 -4.076 -0.757 0.465 2.341
110 -2.905 -4.077 0.361 0.506 2.382
120 -3.006 -3.783 0.436 0.546 2.427
130 -3.058 -3.255 0.494 0.586 2.887
140 -2.98 -3.848 0.545 0.629 2.516
150 -2.914 -3.403 1.277 0.675 2.567
160 -2.685 -3.874 1.332 0.722 2.629
170 -2.61 -3.511 1.399 0.767 2.697
180 -2.393 -3.843 1.472 0.812 2.766
190 -2.036 -3.554 1.545 1.131 2.829
200 -1.98 -3.751 1.616 1.176 2.745
210 -1.93 -3.523 1.82 1.223 2.674
220 -1.88 -4.264 2.5 1.274 2.923
230 -2.083 -3.81 2.546 1.462 3.43
240 -2.345 -3.182 2.592 1.516 3.216
250 -2.277 -2.766 2.201 1.571 2.962
260 -1.837 -3.135 2.053 1.626 3.394
270 -1.102 -3.219 1.713 2.266 3.491
280 -1.055 -3.01 2.2 2.312 3.464
290 -1.008 -3.089 2.446 1.932 3.561
300 -0.961 -2.851 2.887 1.97 3.792
310 -1.362 -2.655 2.558 2.015 4.396
320 -1.6 -2.395 2.625 2.061 4.45
330 -1.803 -1.994 2.706 2.106 4.03
340 -1.386 -2.333 2.659 2.152 3.951
350 -0.982 -2.411 2.588 2.203 4.351
360 -0.601 -2.204 2.676 2.255 4.703
370 -0.54 -1.971 2.975 2.308 4.771
380 -0.728 -1.629 3.414 2.177 4.834
390 -0.972 -1.114 3.487 2.26 4.674
400 -0.641 -1.629 3.55 2.517 4.79
410 -0.215 -1.229 3.431 2.946 5.108
420 -0.127 -1.534 3.083 3 5.083
430 -0.025 -1.555 3.627 2.725 5.041
440 0.093 -1.848 3.872 2.506 5.38
450 0.233 -1.051 4.268 2.593 5.83
460 0.406 -0.753 4.032 2.869 6.314
470 0.458 -0.329 3.809 3.331 5.972
480 0.208 -0.642 4.234 3.402 6.069
490 0.262 -0.337 4.559 3.471 5.898
500 0.31 -0.467 4.637 3.532 6.014
510 0.357 -0.532 4.716 3.415 6.033
520 0.806 -1.074 4.508 3.083 6.371
530 0.859 -0.553 4.809 3.64 5.955
540 0.911 -0.245 5.368 4.215 6.408
550 0.962 -0.628 5.448 3.981 6.862
560 1.013 -0.188 5.327 3.766 6.84
570 1.067 0.111 5.056 4.081 6.945
580 1.317 -0.192 5.474 4.325 7.032
590 1.38 0.209 5.885 5.046 7.107
600 1.446 -0.308 5.854 4.698 7.173
610 1.512 0.207 6.116 4.631 7.232
620 1.708 0.537 6.019 4.936 6.828
630 2.003 0.749 5.472 5.099 7.235
640 2.049 0.575 6.026 5.151 7.462
650 2.092 0.853 6.39 5.472 7.629
660 2.649 1.053 5.933 5.473 7.67
670 2.175 1.268 6.412 5.807 7.88
680 2.218 1.587 6.721 5.929 8.224
690 2.261 1.651 6.931 6.181 7.921
700 2.309 1.354 7.14 6.073 8.775
710 2.358 -0.278 7.071 6.371 8.267
720 2.049 1.786 7.285 6.083 8.029
730 1.912 1.793 7.175 6.482 7.772
740 2.229 2.155 7.423 6.75 8.199
750 2.64 1.822 7.62 6.503 8.284
760 3.123 1.749 7.858 7.188 8.542
770 2.751 1.968 8.225 7.103 8.921
780 2.516 2.21 7.949 7.312 8.675
790 2.946 2.542 8.234 7.57 8.95
800 2.927 2.348 8.121 7.471 8.866
810 2.867 2.28 8.369 7.695 9.117
820 3.193 2.553 8.348 7.986 9.08
830 3.64 2.356 8.475 8.059 9.314
840 3.723 2.69 8.565 7.799 9.531
850 3.807 2.925 8.789 8.118 9.814
860 3.903 3.137 9.004 8.345 10.235
870 3.717 3.406 9.297 8.565 10.227
880 3.826 3.814 9.731 8.87 9.998
890 4.13 3.499 9.375 8.715 8.96
900 4.367 2.61 9.694 8.948 9.578
910 4.672 3.166 9.523 9.278 10.334
920 4.757 3.501 8.328 9.091 10.635
930 4.851 4.169 8.999 9.028 11.083
940 4.663 3.919 9.812 8.593 10.718
950 5.104 4.182 10.077 9.05 10.667
960 5.469 4.583 10.497 9.679 10.928
970 5.55 4.296 10.14 10.093 11.208
980 5.328 4.279 10.453 9.751 11.546
990 5.139 4.568 10.274 10.056 11.441
1000 5.57 4.846 10.55 10.526 11.366
1010 6.282 4.835 10.679 10.105 11.657
1020 6.092 4.427 10.685 10.473 11.865
1030 5.865 5.295 10.307 9.882 12.103
1040 5.952 5.558 10.766 10.285 12.057
1050 6.028 5.464 11.417 9.808 12.294
1060 6.096 5.706 11.315 10.716 12.2
1070 6.162 5.674 11.549 10.976 12.468
1080 6.767 5.937 11.51 11.352 12.232
1090 7.3 5.789 11.777 11.13 12.573
1100 7.368 6.108 12.036 11.423 12.159
1110 7.199 5.763 12.005 11.384 13
1120 7.323 6.167 12.266 11.651 13.283
1130 7.463 6.431 12.12 11.936 13.685
1140 7.465 6.657 12.434 11.899 13.425
1150 7.761 6.908 12.658 12.149 13.391
1160 8.025 7.245 12.889 12.421 13.662
1170 8.024 7.107 13.195 12.381 13.911
1180 7.89 7.038 13.099 12.63 14.205
1190 8.581 7.328 12.992 12.566 14.138
1200 8.676 7.568 13.301 12.87 14.371
1210 8.475 7.489 13.538 13.1 14.652
1220 8.897 7.775 13.779 13.341 14.57
1230 9.261 8.007 13.735 13.284 14.807
1240 9.335 8.26 13.974 13.515 15.096
1250 9.191 8.212 14.212 13.769 15.494
1260 9.196 8.448 14.526 13.717 15.238
1270 9.313 8.705 14.406 13.95 15.2
1280 9.561 8.661 14.654 14.208 14.861
1290 9.814 8.437 14.617 14.156 15.291
1300 10.201 8.802 14.344 14.395 15.93
1310 10.263 9.029 14.745 14.333 16.364
1320 10.328 9.228 14.986 13.873 16.002
