50 1104 38 0.837 927 509 0.907 777 32 0.324 1082 308 1.838 1069 41 -0.248 758 344 -2.188 623 227 -0.264 1020 368 0.187 1171 64 2.378 1087 85 -0.961
100 1116 139 2.162 887 571 3.419 893 57 0.464 1097 407 -0.591 1143 70 1.274 705 232 -1.85 711 160 -1.705 1121 423 0.327 1085 150 2.517 1153 90 2.341
150 1064 252 1.906 774 570 2.57 990 127 0.801 1171 455 1.525 1098 167 2.402 702 124 -0.525 762 65 0.608 1182 511 2.641 987 227 2.459 1080 186 2.282
200 1033 372 1.848 672 590 2.512 1032 222 1.929 1107 540 2.85 1024 265 2.147 815 119 0.405 865 111 0.154 1082 565 2.78 897 313 2.204 1019 293 2.027
250 1025 490 2.186 576 590 2.454 978 334 1.871 989 571 3.385 974 380 1.891 934 149 0.544 972 158 0.689 967 570 3.315 847 422 1.552 979 411 1.573
