1 845 151 2.74 163 307 -2.512 483 496 -2.457 422 555 2.671 332 218 -0.503 347 12 1.071 543 277 2.852 328 530 1.761 830 219 -2.809 711 489 2.708
51 766 208 1.694 149 209 -1.779 390 465 -3.504 328 538 3.403 423 171 -0.561 436 56 0.024 578 313 -0.763 244 526 3.284 770 266 -5.437 618 454 3.639
101 785 322 1.241 80 158 -3.616 277 495 -2.771 215 497 3.543 532 111 -0.421 553 38 -0.23 675 239 -0.623 131 513 1.842 798 381 -4.902 505 402 3.581
151 771 432 2.764 62 123 -0.116 162 460 -3.225 101 493 4.078 650 69 -0.084 671 21 -0.881 781 175 -0.286 65 491 4.552 758 468 -3.181 387 364 2.93
201 654 466 2.904 180 101 -0.57 72 445 -1.504 51 389 4.415 770 51 -0.735 757 9 -0.939 903 153 0.05 32 378 4.296 642 486 -3.437 320 441 3.267
251 536 498 3.043 255 8 -0.825 77 324 -1.364 40 270 4.752 879 60 0.59 832 9 -0.998 1019 190 0.783 23 258 5.226 523 514 -3.099 219 412 2.22
301 417 491 3.381 338 9 -0.883 102 202 -1.224 86 164 5.287 979 134 0.927 912 10 0.525 1082 294 1.318 76 147 5.761 400 502 -2.96 155 465 4.139
351 300 459 3.52 417 9 -0.941 166 107 -0.689 176 90 5.427 1037 239 1.858 956 109 1.455 1067 391 3.039 174 70 5.901 282 468 -2.82 59 434 4.279
401 189 417 2.276 503 9 -0.802 229 26 -0.747 249 11 5.567 988 350 1.602 945 233 1.595 1007 456 1.399 277 9 5.645 171 427 -4.262 21 330 4.814
451 105 430 3.997 595 9 -0.662 313 9 -0.805 349 9 5.509 958 461 2.73 970 352 1.734 938 511 2.923 375 9 5.587 86 436 -1.553 27 210 4.756
501 63 326 3.741 688 9 -0.72 403 10 -0.666 442 9 5.451 847 508 2.869 947 460 2.862 825 550 2.865 466 9 5.727 44 333 -1.611 18 91 4.895
551 31 226 4.276 783 9 -0.581 497 9 -0.724 535 9 5.59 729 548 3.009 841 500 2.409 709 579 3.202 559 9 5.471 11 227 -1.273 69 18 6.814
601 32 122 4.416 884 9 -0.441 589 10 -0.782 626 9 5.532 606 553 3.346 735 553 2.944 590 565 3.342 652 9 5.611 14 114 -0.936 178 72 5.965
651 69 32 5.544 923 73 2.267 682 9 -0.642 720 9 5.672 484 541 3.288 616 573 3.084 468 553 3.284 746 9 5.553 61 14 0.389 262 14 5.512
701 183 17 5.091 891 183 0.826 777 9 -0.7 817 9 5.614 364 525 3.428 497 579 3.223 347 535 3.423 843 9 5.692 161 44 -0.064 353 9 5.454
751 274 9 5.626 928 294 1.361 877 9 -0.363 923 16 7.532 251 483 3.568 377 567 3.363 232 489 3.761 936 38 8.6 243 11 -0.715 446 9 5.594
801 368 9 5.568 931 402 3.082 918 69 2.345 891 112 8.463 151 417 3.707 262 534 3.503 131 420 3.702 879 141 8.146 339 9 -0.773 537 9 5.535
851 459 9 5.51 821 426 1.64 866 176 1.101 888 224 7.219 47 363 4.242 154 481 3.84 27 361 4.435 905 253 7.693 431 9 -0.831 630 9 5.477
901 551 9 5.451 789 507 3.163 866 284 2.229 865 317 8.742 50 255 4.777 61 406 3.979 31 248 5.365 859 339 8.425 524 9 -0.691 723 9 5.617
951 645 9 5.591 671 508 3.105 818 394 2.369 820 417 8.882 86 144 4.521 21 302 4.91 66 139 5.307 814 437 9.158 616 9 -0.749 820 10 5.559
1001 738 10 5.533 551 521 3.047 718 438 2.904 709 456 9.417 103 44 5.056 48 185 4.852 92 27 6.04 695 471 9.298 709 9 -0.807 926 17 7.675
1051 835 9 5.673 432 530 3.187 598 452 3.044 585 467 9.359 197 12 5.591 66 67 4.794 187 36 5.389 572 482 9.437 805 9 -0.668 867 88 8.803
1101 921 41 8.975 313 513 3.326 477 455 3.183 463 469 9.498 296 9 5.533 124 37 6.91 268 10 5.529 448 482 9.577 910 16 1.25 778 172 7.955
1151 828 108 8.719 200 472 3.664 359 436 3.521 343 446 9.836 390 9 5.475 222 45 4.875 362 9 5.471 325 455 9.914 858 89 2.576 807 283 7.897
1201 749 203 8.266 99 408 3.803 248 392 3.265 229 400 9.382 481 9 5.615 296 10 5.608 453 9 5.61 211 409 9.066 762 168 2.32 752 369 8.629
1251 761 315 8.801 21 319 4.734 141 401 3.8 123 410 10.313 574 9 5.557 387 9 5.55 545 9 5.552 103 406 10.391 752 275 1.471 721 457 9.56
1301 687 389 6.964 45 206 5.071 55 326 4.137 35 324 10.65 668 10 5.499 480 9 5.492 639 10 5.494 15 324 11.322 691 359 1.413 608 445 9.304
1351 637 453 9.871 82 92 4.815 40 218 4.672 22 200 10.789 763 9 5.639 572 9 5.631 734 9 5.634 19 220 11.461 653 443 3.332 488 457 9.246
1401 524 411 9.813 114 25 6.734 36 92 4.614 22 78 11.522 869 10 6.767 666 9 5.573 834 9 5.773 40 112 11.403 542 403 3.472 368 462 9.583
1451 410 370 9.755 216 62 5.095 86 36 6.335 95 17 12.848 847 70 9.081 761 10 5.515 883 56 9.273 112 29 12.333 426 360 3.413 250 441 9.723
1501 292 336 9.697 291 10 5.63 200 43 4.696 204 21 11.406 735 115 8.825 865 14 7.434 769 96 9.018 221 9 11.88 309 325 3.355 141 391 9.665
1551 214 384 9.639 384 9 5.572 268 9 5.626 300 9 11.743 647 198 7.778 813 77 9.155 666 164 8.367 321 10 11.822 218 364 2.902 42 333 10.397
1601 139 370 9.581 476 9 5.513 361 9 5.568 393 9 11.883 673 311 8.116 701 131 8.702 668 272 7.913 416 9 11.764 119 371 2.251 30 223 11.328
1651 59 355 11.104 568 9 5.653 453 9 5.51 485 9 11.825 654 410 9.441 634 230 7.655 661 390 9.041 508 9 11.904 50 336 4.763 63 108 11.072
1701 48 236 10.651 663 9 5.595 545 9 5.649 578 9 11.767 546 466 9.186 642 341 9.179 559 433 8.786 601 9 11.846 21 225 4.705 94 17 13.188
1751 51 121 11.383 763 9 5.735 639 9 5.591 673 9 11.907 427 478 9.523 578 420 9.318 443 465 9.518 696 9 11.985 38 106 5.437 199 69 11.944
1801 123 35 12.116 829 51 9.235 737 9 5.731 774 9 12.244 306 462 9.663 468 424 9.458 322 451 9.658 801 10 12.915 120 16 6.565 272 12 11.886
