1 -2.239 -0.017 -3.211 3.344 -2.778 -2.223 -1.314 -0.843 1.435 -0.563
51 -2.718 3.045 -3.216 4.277 -3.804 -0.069 -0.629 -1.517 1.455 -0.934
101 -1.798 2.939 -3.202 4.7 -3.787 -0.735 1.607 -1.847 1.635 -1.867
151 -1.838 2.894 -3.396 5.843 -3.392 -0.816 2.225 -3.481 1.796 -1.707
201 -1.52 2.961 -3.154 5.775 -3.341 -0.308 2.554 -3.961 2.166 0.204
251 -1.741 3.088 -3.16 5.425 -3.254 -1.199 2.779 -3.506 2.984 0.325
301 -1.742 3.216 -2.598 5.33 -3.129 -0.235 2.95 -3.341 2.975 0.257
351 0.404 3.194 -2.626 6.221 -3.066 0.887 3.04 -3.209 2.705 1.257
401 -0.262 3.434 -1.817 7.052 -3.029 1.106 3.163 -3.084 2.922 1.783
451 -0.253 3.689 -1.851 7.811 -2.428 1.474 3.388 -2.764 3.021 2.262
501 -0.521 4.474 -1.861 8.399 -2.391 2.204 3.528 -2.679 3.211 2.884
551 -0.753 4.835 -1.724 8.681 -1.516 2.464 4.011 -1.744 3.389 2.731
601 -0.365 4.147 0.112 8.975 -2.266 2.711 4.27 -1.973 3.431 2.943
651 -0.15 4.7 -0.248 9.256 -1.803 2.984 3.889 -2.318 4.488 3.062
701 2.049 4.422 -0.271 9.332 -1.906 3.053 4.715 -1.319 3.842 3.253
751 1.91 5.707 -0.235 9.471 -0.93 3.242 4.853 -0.928 4.774 3.429
801 2.046 5.638 -0.477 9.885 -0.464 3.677 5.485 -0.466 3.872 4.397
851 2.483 6.198 -0.88 9.915 -0.197 3.636 6.022 -0.214 5.592 4.181
901 2.721 6.243 -0.388 10.273 0.582 4.079 6.055 0.511 5.816 3.899
951 2.916 6.128 0.922 10.527 0.266 4.224 5.899 0.057 4.731 4.819
1001 3.078 5.906 1.925 10.667 1.848 4.266 5.852 0.776 5.839 4.958
1051 3.269 8.042 2.236 12.057 2.423 5.679 7.833 2.229 6.466 6.504
1101 3.986 8.436 2.406 11.461 2.712 5.902 8.381 2.614 6.724 5.825
1151 3.701 8.745 2.591 11.88 2.889 5.537 8.758 2.774 7.183 5.468
1201 4.127 8.971 2.876 12.754 3.202 6.076 9.018 3.083 8.607 5.997
1251 4.273 9.377 3.177 13.47 3.25 6.266 9.428 3.24 8.949 6.133
1301 4.556 9.484 3.402 13.878 3.743 6.317 9.527 3.698 9.152 6.038
1351 5.813 9.676 3.536 15.018 4.456 8.229 9.715 3.613 9.41 7.943
1401 6.392 10.255 3.953 15.266 3.696 8.612 10.313 3.849 9.794 8.524
1451 5.185 10.318 4.335 15.554 4.401 8.975 10.37 4.535 10.49 8.908
1501 5.085 10.496 4.375 15.765 4.703 9.269 10.548 4.325 10.144 9.174
1551 6.951 11.369 5.669 16.151 5.773 9.669 11.708 5.738 10.955 9.619
1601 6.9 11.533 5.876 16.985 5.708 9.826 11.637 5.937 10.929 9.734
1651 8.644 11.469 5.801 16.112 5.648 10.092 11.846 5.852 12.266 10.05
1701 8.868 11.929 5.799 16.938 5.673 11.131 11.845 6.116 12.271 10.866
1751 9.358 13.434 6.228 17.24 5.935 11.268 12.684 6.707 12.391 10.716
1801 9.824 14.434 7.955 18.581 7.784 11.935 14.16 8.13 12.513 12.411
1851 9.934 14.961 8.509 18.911 8.361 12.552 14.989 8.597 14.504 12.755
1901 9.991 15.251 8.855 18.765 8.688 12.447 15.315 8.723 14.892 12.381
1951 10.882 15.743 9.321 18.688 9.169 12.491 15.895 9.249 15.38 13.174
2001 10.626 15.918 9.614 20.767 9.513 14.957 15.966 9.593 15.774 14.953
2051 12.141 16.465 10.097 21.074 9.993 14.95 16.429 10.01 16.121 15.071
2101 11.775 16.908 10.522 21.64 10.303 15.501 17.539 10.418 16.497 15.649
2151 12.725 16.378 10.59 21.979 10.336 15.762 16.755 10.589 16.637 15.871
2201 14.199 15.705 12.1 22.341 12.159 16.081 18.666 11.88 17.972 16.103
2251 14.857 16.655 12.061 22.611 12.109 16.349 18.65 11.847 18.453 16.363
2301 15.587 18.665 12.531 22.965 12.902 16.822 18.733 12.405 19.478 17.004
2351 15.826 18.303 13.451 24.044 13.705 17.946 18.707 13.85 20.459 18.392
2401 16.059 18.245 14.782 24.767 14.68 18.149 20.844 14.943 21.515 18.631
2451 16.301 18.584 15.192 25.16 15.106 18.495 21.227 15.41 21.924 18.991
2501 17.185 18.621 15.502 25.293 15.421 18.721 21.647 15.611 22.044 18.764
2551 18.829 19.631 16.101 27.178 16.025 20.631 22.252 16.155 22.747 20.288
2601 17.671 20.748 16.484 27.824 16.346 21.227 22.581 16.62 23.207 21.017
2651 18.346 21.6 17.01 27.893 16.912 21.644 23.042 17.365 23.543 21.532
2701 19.832 21.953 18.416 28.231 18.25 22.049 23.951 18.261 24.61 22.03
2751 21.182 22.192 18.332 28.689 18.195 22.301 24.138 18.231 24.558 22.248
2801 21.197 23.02 18.588 29.641 18.276 23.486 24.098 18.335 24.573 23.241
2851 21.92 23.506 19.216 31.225 18.869 24.839 24.756 18.739 25.209 24.212
2901 22.091 24.073 20.827 30.917 20.667 24.518 27.086 20.028 26.216 24.659
2951 22.739 24.265 20.83 30.756 20.394 24.689 26.782 20.473 26.446 24.712
3001 23.243 24.982 21.486 31.523 21.723 25.397 27.976 21.547 27.86 25.689
3051 25.241 26.935 21.963 32.877 21.732 26.843 28.057 21.272 27.724 26.871
3101 23.601 27.81 22.068 33.596 21.87 27.512 28.309 21.807 27.994 27.902
3151 25.018 27.863 22.381 33.913 22.321 27.729 28.666 22.535 28.624 28.031
3201 26.235 28.266 23.409 34.547 23.113 28.356 29.69 23.267 29.064 28.253
3251 27.026 28.929 21.898 35.212 22.721 28.935 28.869 22.48 28.865 28.943
3301 27.635 29.258 23.354 35.275 23.963 29.059 31.208 24.712 29.889 29.62
3351 28.14 30.778 24.593 36.787 24.428 30.409 31.125 24.643 30.454 30.837
3401 28.091 31.05 24.595 36.75 24.41 30.908 31.1 24.629 31.224 31.099
