1 1126 215 1.253 197 36 -0.343 711 497 -2.818 900 346 0.893 463 178 2.846 1085 282 2.133 143 338 0.718 748 397 1.691 489 153 0.988 903 366 1.791
51 1050 239 3.369 290 74 0.388 626 545 -3.667 838 380 2.812 388 246 2.392 990 274 3.459 206 418 0.858 699 486 2.423 551 234 0.93 813 386 2.326
101 927 220 3.311 408 107 -0.262 520 589 -3.725 745 452 2.358 300 332 2.137 869 245 3.005 261 526 1.591 603 565 2.563 640 322 0.675 727 472 2.466
151 810 236 2.265 437 29 -0.518 416 590 -3.783 651 534 2.498 213 421 2.672 818 332 1.959 225 589 2.126 494 590 2.505 719 409 1.803 629 549 2.606
201 727 327 2.404 534 37 0.412 322 590 -3.841 543 587 2.637 98 435 3.997 760 440 2.296 146 590 2.265 392 590 2.447 665 514 2.535 520 588 2.548
251 629 403 2.742 624 16 -0.436 229 590 -3.701 437 590 2.579 20 346 5.323 667 523 2.634 62 586 4.184 297 590 2.586 561 581 2.675 414 589 2.489
301 521 457 2.091 734 29 -0.099 120 589 -2.969 330 589 2.521 31 239 3.486 557 580 2.773 85 491 5.114 193 590 2.726 447 589 2.617 310 590 2.629
351 488 566 2.428 853 27 0.435 93 505 -1.05 222 590 2.859 19 143 5.405 443 590 2.715 115 375 3.87 110 548 5.04 337 589 2.559 200 589 3.164
401 381 588 3.16 954 86 0.97 131 392 -1.503 167 528 4.975 33 49 4.358 328 588 3.448 62 291 5.394 148 432 4.784 231 572 4.477 168 506 5.083
451 281 537 4.486 1044 152 0.122 80 307 -1.364 188 408 4.126 91 32 6.277 244 513 4.774 49 195 4.545 112 333 4.133 199 465 4.815 177 388 3.839
501 241 421 4.626 1101 232 2.436 101 197 -2.41 148 298 4.661 210 42 6.416 218 398 4.715 97 113 4.289 112 227 4.273 186 343 4.361 135 281 4.769
551 213 302 4.172 1012 307 2.575 79 106 -0.294 111 184 4.801 330 49 6.161 191 280 4.262 114 26 6.208 84 127 5.796 145 228 4.501 99 168 5.106
601 168 190 5.498 906 360 3.11 191 58 -0.352 182 108 5.731 449 41 6.103 154 169 5.785 231 22 6.347 185 77 5.936 176 127 5.827 170 91 6.037
651 259 131 5.835 798 392 2.262 315 41 0.182 302 75 6.069 569 26 6.045 251 113 6.32 352 20 6.289 301 55 6.273 286 87 6.164 283 67 6.374
701 374 118 6.173 716 485 2.401 440 49 -0.073 425 74 6.208 688 24 6.184 370 98 6.262 472 22 6.231 421 54 6.413 411 89 6.304 405 70 6.316
751 495 119 6.312 613 555 2.738 565 50 -0.131 549 75 6.15 808 20 6.324 494 99 6.402 592 21 6.371 543 56 6.355 536 90 6.246 528 72 6.258
801 617 119 6.254 493 583 3.273 689 47 -0.189 674 72 6.092 920 56 7.057 619 99 6.344 712 20 6.313 662 56 6.494 662 88 6.187 648 73 6.398
851 737 120 6.196 377 551 4.599 813 33 -0.049 801 51 6.034 988 150 7.789 743 100 6.286 832 18 6.453 778 59 6.436 790 75 5.932 768 78 6.339
901 855 118 6.138 308 465 3.355 922 69 1.276 903 61 7.557 1035 242 8.127 869 104 6.426 943 77 7.581 886 73 7.169 907 82 6.862 890 93 6.479
951 938 167 6.475 282 372 4.681 974 155 1.613 954 148 7.697 955 272 9.255 959 168 6.763 1005 196 7.523 933 147 7.506 997 177 7.99 977 176 6.816
1001 977 260 7.603 224 285 4.623 988 243 2.148 975 228 8.232 852 320 8.208 995 268 8.484 993 315 8.651 964 245 7.251 1005 297 8.92 987 288 7.747
1051 906 343 9.324 176 190 5.948 934 305 2.881 914 306 8.174 782 421 8.545 936 325 9.612 882 372 9.581 915 325 8.972 927 343 9.851 900 362 9.665
1101 799 390 8.476 273 136 5.693 836 325 1.834 818 349 8.116 691 505 8.883 838 345 8.368 772 420 8.534 811 375 8.321 829 366 8.607 787 407 8.619
1151 716 484 8.813 365 59 5.635 777 425 2.369 746 444 8.453 577 552 9.418 766 442 8.705 684 509 8.872 731 471 8.658 750 464 8.746 701 497 8.759
1201 608 544 9.743 469 19 6.367 687 506 2.904 651 517 9.186 457 535 10.15 671 519 9.24 569 552 10 627 537 9.588 647 537 9.677 588 548 9.689
1251 487 525 10.081 588 37 6.309 572 528 3.439 536 521 9.523 365 474 11.081 552 532 9.973 448 514 10.337 506 528 9.926 524 537 10.212 467 520 10.224
1301 405 438 10.023 707 46 6.251 477 470 3.974 442 449 9.86 311 387 10.43 458 463 10.112 367 419 10.081 422 449 10.065 439 469 10.549 386 429 10.166
1351 311 353 10.36 828 50 6.391 385 398 3.916 345 373 10.198 244 298 10.569 371 384 10.054 281 328 10.419 327 366 10.402 353 392 10.491 296 340 10.306
1401 263 243 10.895 937 90 7.123 317 305 4.451 289 274 10.733 233 191 11.104 307 288 10.589 245 207 10.756 274 260 10.937 289 297 11.026 254 226 10.841
1451 299 134 12.023 985 195 8.054 318 191 4.986 292 172 11.861 290 94 12.825 312 171 11.124 298 112 12.279 291 152 12.065 298 191 11.758 281 124 12.364
1501 417 80 11.965 951 305 8.984 406 118 5.719 380 127 12.198 399 71 12.372 408 98 12.055 420 58 12.024 388 109 12.205 398 137 12.096 390 88 12.306
1551 530 29 12.5 841 341 8.531 520 67 5.858 493 93 12.338 511 36 12.709 528 48 12.194 532 10 13.152 496 74 12.345 513 85 12.235 503 55 12.445
1601 644 27 12.837 764 435 8.67 634 49 6.196 609 87 12.477 624 32 13.046 654 44 11.939 658 14 13.291 611 68 12.682 631 69 12.375 612 48 12.783
