1 817 233 1.831 291 473 2.705 144 463 1.017 713 572 -0.015 1096 387 1.888 910 154 2.074 1048 159 -0.508 374 414 0.56 1143 484 0.31 72 95 -0.508
51 780 327 2.366 198 438 3.636 103 468 4.913 698 575 4.275 1007 379 3.412 872 248 2.214 1132 192 1.212 325 461 3.27 1113 517 3.81 166 126 0.421
101 673 384 2.901 89 379 3.775 77 363 3.471 624 483 3.426 903 404 2.168 787 336 2.749 1134 301 3.328 204 438 3.607 1017 440 3.752 286 156 -0.426
151 555 417 3.041 48 284 4.31 39 266 4.204 507 445 3.368 808 477 2.703 671 382 2.691 1021 292 3.073 113 364 4.537 905 406 2.508 380 91 -0.88
201 431 432 3.181 33 189 5.438 31 160 5.332 383 432 3.31 691 510 3.831 552 419 3.028 937 351 2.421 67 252 5.072 805 477 3.043 463 17 0.247
251 308 419 3.518 104 88 5.38 101 62 5.274 262 403 3.647 576 486 3.377 428 432 3.168 850 438 2.759 113 142 5.212 686 478 2.985 574 58 0.387
301 195 367 3.855 201 31 5.915 191 14 6.599 158 337 3.985 464 442 3.319 305 418 3.505 733 455 2.898 194 51 5.944 568 463 3.125 692 73 -1.251
351 151 260 3.797 327 24 6.45 303 28 6.541 127 232 3.334 345 408 3.459 216 339 3.447 615 451 3.236 315 45 6.282 451 427 3.264 735 27 0.469
401 119 168 5.518 449 40 6.985 419 56 6.681 112 150 5.845 248 338 3.994 164 243 4.773 493 433 3.375 438 56 6.421 332 394 3.997 843 39 -1.565
451 219 125 6.053 567 86 6.532 530 98 6.425 220 105 6.578 183 249 5.517 180 146 6.296 377 391 3.713 550 97 6.363 241 312 4.532 935 38 -0.042
501 335 126 6.193 688 99 6.474 653 120 6.367 340 106 6.718 230 148 5.064 298 141 6.436 279 317 4.643 672 112 6.305 238 202 5.265 1015 100 0.887
551 450 141 6.332 811 110 6.02 776 132 6.111 461 124 6.659 289 46 5.401 422 152 6.378 254 214 5.178 794 121 6.05 296 93 5.207 1081 182 1.422
601 568 150 5.879 852 31 6.16 874 78 3.879 582 135 5.811 393 13 6.529 545 161 6.122 287 104 5.12 857 56 4.212 391 34 6.137 1054 264 3.341
651 676 93 5.426 956 44 6.3 917 54 6.786 678 65 5.357 513 33 6.866 663 123 5.669 356 18 6.446 895 42 7.12 502 50 6.474 959 303 1.702
701 773 30 5.961 1019 124 6.637 1014 89 7.914 774 10 6.683 632 71 6.611 766 54 5.808 469 48 6.783 990 88 7.457 616 83 6.416 879 379 2.434
751 894 22 5.31 1050 202 9.149 1069 187 8.844 879 10 6.823 756 94 6.355 879 36 6.146 579 105 6.725 1062 164 8.585 738 104 6.358 775 439 3.167
801 1002 35 7.426 994 283 8.695 990 253 7.6 965 38 6.567 879 107 6.297 987 17 7.669 696 132 6.469 995 233 7.538 862 117 6.3 653 445 3.504
851 1036 152 8.356 907 343 8.637 921 324 8.333 1029 133 8.09 969 55 6.437 1005 112 7.413 815 152 6.213 935 308 8.271 960 73 6.044 533 423 3.644
901 985 262 9.287 804 407 8.975 826 395 8.868 996 245 9.021 979 115 7.565 999 225 8.541 922 116 4.574 844 386 9.004 986 137 6.975 424 370 3.388
951 900 341 9.228 684 422 9.312 708 420 9.205 916 329 8.963 1027 198 9.286 930 315 8.681 850 58 5.109 729 417 9.341 1011 210 9.289 313 316 3.923
1001 789 393 9.17 564 406 9.452 587 409 9.542 808 386 9.3 950 264 7.844 827 380 9.216 923 62 7.028 608 412 9.481 946 288 8.44 314 220 4.063
1051 666 404 9.508 472 341 10.184 489 355 10.275 686 403 9.439 870 331 8.577 706 402 9.356 999 118 8.749 506 366 10.411 850 348 8.777 280 146 6.179
1101 561 354 9.647 369 277 10.324 389 290 10.019 580 363 9.974 761 377 9.111 600 367 9.891 985 201 7.702 408 300 9.958 735 382 9.312 346 71 4.935
1151 461 293 10.775 348 175 11.254 358 192 11.147 480 304 10.707 648 353 9.646 499 312 10.623 937 283 8.83 364 211 11.283 620 350 9.847 426 20 6.656
1201 405 184 9.927 344 64 12.184 351 82 11.88 420 198 10.056 536 303 9.984 436 211 9.972 836 343 9.168 356 101 11.621 512 292 10.382 532 75 6.796
1251 414 91 12.241 447 15 12.719 456 32 12.217 413 110 12.172 474 204 9.926 424 127 11.693 718 348 9.505 444 48 12.353 455 186 9.929 640 137 6.738
1301 534 62 12.578 558 22 12.859 581 19 12.555 515 71 12.51 476 128 12.437 532 82 12.426 606 318 9.447 567 40 12.493 460 116 12.638 758 175 6.284
1351 660 56 12.718 674 41 12.801 703 21 12.892 634 72 12.649 597 111 12.182 654 74 12.565 525 246 9.389 694 39 12.435 577 111 12.58 870 154 5.436
1401 776 68 12.857 795 64 12.941 823 47 13.229 753 88 12.789 716 107 12.717 773 88 12.705 521 179 12.098 815 66 12.772 701 119 12.72 917 59 4.587
1451 893 92 12.799 913 93 12.685 939 60 12.183 872 111 12.731 840 122 12.659 892 112 12.647 557 81 11.645 930 81 11.33 823 132 12.662 960 52 7.099
1501 979 76 13.73 1021 101 13.418 1023 76 14.497 975 96 12.475 960 112 12.008 999 97 12.787 645 17 12.773 1002 77 14.04 944 128 11.813 1045 126 8.227
1551 978 120 14.462 1025 200 15.139 1018 167 14.834 1008 185 14.196 998 169 13.729 1007 209 13.915 761 41 12.912 1000 134 14.772 986 148 13.732 1006 232 8.168
1601 986 211 15.195 975 280 16.069 985 250 15.764 950 280 15.72 963 264 15.647 942 298 15.833 875 81 13.052 981 231 15.307 966 245 15.057 922 302 9.494
1651 916 284 14.939 887 326 15.418 901 312 15.311 852 344 15.464 867 331 14.996 833 348 15.182 984 95 12.994 898 292 14.656 882 307 14.604 815 357 9.634
1701 820 315 15.474 782 340 16.348 801 335 16.241 739 335 16.197 759 333 15.927 719 334 16.113 966 149 14.715 800 315 15.191 781 320 15.337 699 342 10.169
1751 710 316 15.614 673 330 16.29 693 327 16.183 621 310 16.138 640 317 16.066 602 303 16.055 972 241 15.645 681 311 15.529 660 315 15.872 584 294 9.715
1801 630 270 16.939 598 265 17.22 616 257 16.916 562 220 17.266 580 230 16.997 558 200 16.392 884 300 15.785 599 245 16.854 580 251 17.395 541 189 10.843
1851 606 155 17.277 586 156 17.558 595 137 17.253 567 99 17.604 563 119 17.927 551 86 18.113 777 308 16.122 583 120 17.389 574 139 17.732 555 67 11.576
1901 666 65 18.207 649 77 18.488 654 50 18.579 664 15 18.929 625 44 18.857 618 25 19.241 659 289 16.064 648 30 18.913 632 63 18.663 638 13 12.902
1951 784 40 18.742 777 60 18.628 760 48 19.114 789 21 19.464 741 57 18.997 723 49 19.183 603 197 16.797 768 29 19.25 756 70 18.802 743 37 13.041
2001 897 31 17.893 893 50 17.384 873 57 18.661 903 12 19.406 864 78 18.741 842 77 18.927 623 92 17.925 878 37 18.994 884 73 18.151 853 61 12.786
2051 954 37 20.405 986 33 20.884 948 66 19.986 990 81 19.941 973 69 19.474 959 84 18.276 706 17 19.053 938 50 20.32 971 48 20.07 938 84 12.728
2101 955 134 19.556 955 112 20.826 983 155 20.917 979 191 21.267 993 135 21.59 1005 153 21.578 818 54 19.39 965 152 19.471 974 128 21 991 174 14.844
