1 1006 399 2.922 809 216 -2.577 1046 77 1.428 978 451 -0.765 409 466 0.906 967 469 -2.354 571 25 -1.92 789 247 -0.883 1075 386 -2.333 538 151 -2.335
51 909 419 3.062 797 118 -1.449 1125 83 1.37 1043 401 1.548 345 511 3.023 873 444 -3.005 646 25 -0.199 853 169 -0.546 1018 301 -2.193 585 76 -0.614
101 789 440 2.609 848 10 -0.124 1115 184 0.324 1071 507 0.501 234 559 2.372 764 478 -4.052 769 11 -0.257 944 86 -0.406 948 197 -2.053 696 21 -0.276
151 691 515 2.551 958 39 0.806 1157 250 2.44 1101 588 3.606 136 590 2.709 700 577 -3.319 890 18 0.672 1056 84 0.523 892 87 -1.518 818 12 0.258
201 591 565 2.888 1047 122 1.538 1100 347 1.591 990 543 3.548 58 550 5.221 589 586 -2.982 985 94 1.009 1098 168 2.244 950 61 1.19 925 71 0.793
251 476 565 3.028 1068 237 0.492 1067 461 2.126 873 502 3.49 67 437 4.174 469 584 -2.842 1051 175 1.544 1106 254 0.802 1023 158 1.33 1004 148 0.932
301 363 548 3.365 1088 324 2.411 1075 559 2.068 753 467 3.432 13 326 4.512 346 559 -2.9 1058 297 1.882 1087 345 2.326 1045 276 1.865 1031 262 1.665
351 244 558 2.516 1013 420 1.76 989 567 3.591 638 420 3.572 10 203 5.046 229 576 -3.749 1000 404 1.626 1010 440 0.884 997 384 1.807 986 368 1.805
401 154 589 2.656 1065 503 2.492 874 522 3.533 524 369 3.316 75 118 6.768 116 590 -3.412 1055 486 1.963 1080 515 3 1042 471 1.748 1027 457 1.351
451 59 563 5.365 974 578 3.027 756 482 3.475 405 333 3.456 189 151 6.314 76 526 -1.098 986 562 2.893 1004 569 3.338 972 547 2.679 971 527 2.479
501 80 454 4.121 857 586 3.364 635 452 3.22 298 275 4.386 291 97 5.465 59 413 -1.946 874 575 3.231 890 559 3.28 842 572 2.818 861 559 3.014
551 40 339 4.854 738 578 3.306 513 428 3.557 270 158 4.921 387 21 6 47 293 -1.214 754 563 3.173 768 548 3.221 718 582 3.156 734 559 2.956
601 106 249 4.993 620 563 3.446 402 373 3.697 347 93 6.642 484 63 7.128 125 213 -1.47 629 545 3.312 647 536 3.361 597 564 3.493 608 547 3.293
651 182 182 6.714 503 529 3.388 301 300 4.232 462 81 6.782 586 130 6.28 203 170 0.448 510 510 3.254 529 507 3.303 475 527 3.435 490 514 3.433
701 300 210 5.866 381 511 3.132 327 211 5.36 568 129 6.328 707 112 6.024 316 189 -0.202 387 492 2.999 407 490 3.047 351 511 2.982 366 498 2.98
751 396 144 5.808 264 537 2.679 416 141 5.499 690 117 6.072 831 101 6.361 427 125 -0.062 267 517 2.545 286 511 2.594 234 550 2.528 244 533 2.329
801 505 138 6.54 179 590 2.423 525 133 6.429 813 100 6.41 951 131 6.699 548 126 0.274 165 573 2.289 194 576 2.338 123 590 2.668 149 589 2.468
851 626 161 6.482 80 582 4.54 647 156 6.569 906 166 7.34 981 227 6.838 670 149 0.216 64 570 4.999 103 587 3.862 79 534 5.575 61 550 5.771
901 749 179 6.424 118 496 4.877 769 179 6.511 996 243 7.677 1040 283 8.955 791 180 0.356 118 476 4.545 132 511 4.199 108 434 4.726 117 455 4.329
951 872 200 6.564 104 377 4.621 891 206 6.651 955 336 8.41 952 358 8.303 911 214 0.495 102 357 4.883 106 399 4.536 106 311 5.063 103 332 4.864
1001 940 273 8.087 145 282 6.145 954 288 8.174 958 431 7.166 977 437 7.652 966 304 2.216 161 268 6.011 138 301 5.862 190 240 5.796 173 251 5.992
1051 899 380 8.424 256 244 6.482 906 399 8.314 934 509 8.294 945 525 8.978 914 418 2.158 270 230 6.546 240 256 6.397 306 215 6.529 286 217 6.527
1101 845 486 8.564 366 213 5.435 850 505 8.453 843 570 9.224 850 589 9.711 857 524 2.496 381 200 5.499 350 227 5.548 416 176 5.878 398 188 5.678
1151 747 535 9.297 470 178 6.366 743 554 9.384 717 580 9.364 737 582 9.653 754 571 3.228 491 177 6.232 451 183 6.281 530 176 6.017 510 178 5.818
