1 272 331 -0.651 488 447 2.845 582 330 1.368 140 303 1.182 1080 434 -0.871 884 481 2.369 817 505 1.368 965 149 -1.979 1157 286 -1.242 1069 191 -0.479
51 335 250 -0.906 408 396 3.182 544 419 1.508 99 301 5.078 1097 470 3.221 789 462 3.3 744 510 3.485 913 62 -2.037 1160 316 2.653 1150 235 2.031
101 403 145 -0.964 291 407 3.124 512 521 3.229 129 184 4.624 982 495 2.174 674 485 2.055 671 551 2.834 928 10 -0.712 1059 379 2.595 1076 319 2.566
151 474 43 -0.825 171 399 3.461 397 503 3.369 99 68 4.369 969 586 3.302 588 527 3.579 567 536 3.962 1039 9 0.02 966 453 1.944 976 391 2.113
201 563 10 -0.685 58 362 3.601 279 479 3.311 117 11 5.497 858 579 3.244 489 459 3.718 469 463 3.706 1136 66 1.346 903 552 3.269 908 493 2.45
251 657 10 -0.743 32 276 5.519 161 457 3.45 207 9 5.636 738 578 3.186 384 395 3.66 365 400 3.648 1129 158 2.869 785 546 3.211 801 531 3.183
301 752 9 -0.604 122 192 5.659 48 416 3.787 300 9 5.578 618 579 3.128 272 341 3.602 253 347 3.59 1015 196 2.613 661 537 3.153 678 523 3.125
351 851 9 -0.662 221 117 5.601 36 324 5.311 393 9 5.52 498 579 3.07 160 287 3.347 140 294 3.136 980 288 0.974 537 540 3.095 553 521 3.067
401 958 9 -0.324 313 34 5.543 103 221 5.055 485 9 5.462 377 580 3.21 83 342 3.289 68 355 3.869 932 362 2.102 412 545 3.037 429 526 3.009
451 1054 50 1.396 405 9 5.485 142 104 4.602 580 9 5.602 258 564 3.349 31 269 4.417 11 270 4.997 883 454 1.846 287 544 3.374 304 530 3.148
501 1084 152 2.919 498 9 5.625 153 15 5.334 674 9 5.544 143 531 3.489 30 153 4.359 10 153 4.939 832 539 2.974 164 521 3.514 182 512 3.486
551 979 192 2.466 592 9 5.567 237 9 5.474 770 9 5.683 33 476 4.222 34 47 4.103 10 45 5.079 715 561 2.916 52 471 4.049 71 466 3.823
601 907 277 0.826 687 10 5.508 329 9 5.614 869 9 5.625 19 376 4.954 80 22 5.626 58 14 5.614 597 579 3.253 21 356 4.584 40 362 4.358
651 894 365 2.547 784 9 5.648 421 9 5.556 980 11 6.753 39 261 4.896 176 9 5.568 151 9 5.555 478 568 3.195 21 233 5.317 39 241 4.695
701 874 455 2.292 883 9 5.788 516 10 5.498 1044 102 8.277 72 149 5.036 269 10 5.51 244 10 5.497 358 561 3.137 63 113 5.456 75 130 5.033
751 783 455 3.42 991 21 7.904 610 9 5.637 961 160 9.009 126 45 5.373 361 9 5.65 336 9 5.637 238 551 3.475 140 9 5.596 136 28 5.568
801 701 486 1.385 929 96 8.044 706 9 5.579 872 234 7.172 197 11 5.513 455 9 5.592 430 9 5.579 124 515 3.614 246 9 5.538 226 10 5.51
851 631 523 3.501 924 190 8.776 806 9 5.719 900 331 9.091 289 9 5.652 550 10 5.534 524 10 5.521 22 458 4.742 341 9 5.48 318 9 5.649
901 514 495 3.245 860 272 6.939 915 10 6.451 808 382 7.056 383 9 5.594 645 9 5.673 619 9 5.661 59 354 5.277 435 9 5.619 413 9 5.591
951 395 488 3.187 827 359 8.66 913 75 8.963 815 453 9.963 477 9 5.536 744 9 5.813 717 9 5.8 119 245 5.021 529 9 5.561 507 10 5.533
1001 275 482 3.129 756 434 9.788 869 172 8.312 701 445 9.114 574 9 5.676 858 14 7.336 830 10 6.335 144 125 4.37 629 9 5.701 605 9 5.673
1051 156 463 3.467 637 429 9.137 848 275 7.661 594 496 9.056 677 9 6.013 840 109 8.464 846 81 8.649 97 36 3.324 736 10 6.434 711 10 6.405
1101 46 417 3.606 517 463 9.079 802 361 7.998 477 521 9.394 748 69 7.734 802 217 7.023 793 187 7.208 48 72 0.696 771 103 7.759 756 89 7.731
1151 36 321 5.13 395 487 9.417 721 433 8.929 357 526 9.533 785 185 7.479 826 326 8.941 818 299 8.336 137 156 1.033 801 223 7.701 794 204 7.673
1201 71 202 4.676 271 490 9.556 612 482 9.266 238 514 9.673 768 283 8.804 729 374 9.279 731 354 9.068 169 271 1.766 767 322 9.225 762 302 8.801
1251 40 101 3.432 148 470 9.696 494 508 9.406 122 481 9.813 669 349 8.746 650 454 9.418 656 435 9.01 114 379 2.499 663 389 8.771 665 369 8.743
1301 34 20 6.339 37 420 10.824 375 516 9.348 17 427 10.941 567 399 9.281 525 462 9.558 540 449 9.545 27 344 4.615 556 437 9.504 562 418 9.476
1351 132 9 5.491 38 301 10.963 255 509 9.685 33 320 11.278 452 410 9.223 405 475 9.302 416 457 9.092 23 227 4.952 432 444 9.248 441 426 9.22
1401 224 9 5.63 44 180 11.301 139 480 9.824 55 199 11.22 335 425 9.561 278 480 10.035 295 469 9.824 69 116 5.29 309 455 9.586 323 441 9.557
1451 318 9 5.572 79 62 11.638 32 429 10.359 83 81 11.359 227 386 9.898 167 415 10.174 186 420 10.162 109 14 5.232 195 402 10.121 215 402 10.092
1501 413 10 5.514 155 10 11.778 43 328 11.685 134 12 11.894 123 325 8.654 71 349 9.128 91 354 9.313 177 9 5.569 93 334 8.876 111 341 8.848
1551 508 9 5.654 246 9 11.917 98 220 11.429 223 9 11.836 86 267 11.363 43 282 11.64 58 295 11.627 270 9 5.511 59 267 11.586 74 283 11.557
1601 607 10 5.596 341 9 11.859 117 102 10.778 318 10 11.778 128 148 10.91 102 174 11.186 115 189 11.174 364 9 5.651 109 155 11.132 122 170 11.104
