50 -1.697 1.957 5.689 3.834 6.185 4.382 1.053 3.142 -0.404 2.946
100 -1.162 5.223 5.12 5.072 5.548 4.575 2.848 4.054 -0.096 4.614
150 1.224 7.526 9.933 5.65 6.934 6.009 4.211 4.992 1.013 5.119
200 3.602 7.542 10.598 5.795 9.48 6.645 4.486 4.92 0.774 5.251
250 4.991 10.808 13.036 5.949 10.222 7.154 4.928 5.165 2.849 6.725
300 4.466 13.35 15.676 8.719 10.617 8.376 5.898 5.115 2.605 11.45
350 7.097 17.956 17.673 9.815 11.541 9.442 5.629 6.611 4.417 15.263
400 8.49 18.274 22.328 10.391 13.835 10.912 8.723 8.232 5.255 15.599
450 11.278 18.81 22.825 11.106 16.636 11.126 9.11 8.637 5.684 17.279
500 11.276 19.326 22.854 11.718 20.395 12.355 10.196 10.508 6.105 19.068
550 14.445 20.107 24.167 12.255 24.409 12.368 10.559 11.182 6.191 23.903
600 15.711 19.971 23.686 12.109 29.578 14.495 11.475 10.953 7.205 29.767
650 17.175 22.058 27.642 12.404 35.45 13.691 11.534 11.452 7.562 35.025
700 18.306 23.394 28.489 16.049 40.389 15.112 15.047 11.849 9.761 39.028
750 20.787 24.692 29.806 16.425 44.283 16.476 15.069 14.425 10.262 43.287
800 23.461 25.047 30.078 17.444 48.808 17.141 16.455 14.821 11.928 48.795
850 27.645 25.413 30.735 18.442 54.516 17.849 16.77 15.84 12.258 54.555
900 31.527 26.241 34.972 18.324 60.088 18.185 17.154 16.88 13.004 59.084
950 36.286 26.281 36.744 18.617 64.334 19.109 18.368 16.889 12.749 62.988
1000 42.101 28.098 42.254 22.096 68.355 20.934 18.144 17.828 15.739 67.889
1050 47.469 28.93 48.013 22.808 73.55 19.786 21.076 17.477 16.218 73.746
1100 51.536 30.505 52.525 24.433 79.42 20.283 21.401 18.941 17.459 78.971
1150 55.71 31.28 56.434 24.722 84.329 22.927 23.246 19.127 18.763 82.961
1200 61.12 31.721 61.35 25.761 88.219 23.544 23.588 21.751 18.981 87.242
1250 66.932 32.549 67.204 30.993 92.769 23.724 24.366 22.367 19.896 92.77
1300 71.581 32.438 72.433 34.191 98.491 24.691 27.021 22.741 22.292 98.517
1350 75.467 34.45 76.429 34.393 104.043 25.075 26.872 23.485 23.407 103.019
1400 80.244 36.454 80.698 37.017 108.267 26.544 29.243 24.667 24.909 106.929
1450 86.063 37.135 86.203 40.876 112.302 28.057 29.608 23.861 25.332 111.857
1500 91.422 37.679 86.274 44.759 117.522 28.886 30.992 24.355 25.777 117.72
1550 95.483 37.996 87.99 49.561 123.389 29.866 31.961 24.507 28.405 122.917
1600 99.663 38.857 91.699 54.481 128.269 30.298 34.968 27.577 28.935 126.894
1650 105.082 38.87 95.837 55.016 132.154 31.334 35.63 28.301 31.303 131.197
1700 110.89 39.945 99.939 55.403 136.731 31.47 36.044 29.175 31.318 136.745
1750 115.529 41.474 105.241 56.755 142.467 33.826 37.002 29.826 32.566 142.478
1800 119.414 43.136 111.09 56.672 147.997 33.825 36.979 30.253 34.383 146.953
1850 124.21 43.786 115.868 58.988 152.199 35.794 40.515 30.328 36.556 150.871
1900 130.038 44.186 119.743 63.089 156.25 36.23 42.137 32.223 37.456 155.826
1950 135.371 45 124.419 66.879 161.495 36.754 42.822 33.959 38.895 161.692
2000 139.415 45.107 130.19 67.541 167.357 38.511 48.308 34.925 41.149 166.862
2050 143.615 47.412 135.651 68.008 172.208 38.409 52.695 36.2 43.857 170.827
2100 149.056 48.753 139.769 69.17 176.09 36.627 56.655 36.764 49.117 175.152
2150 154.854 49.437 143.889 68.925 180.693 39.588 61.663 39.487 53.282 180.721
2200 159.465 49.951 149.214 69.654 186.442 38.661 67.502 40.589 56.647 186.438
2250 163.354 50.269 155.057 72.575 191.951 40.444 72.668 42.388 56.732 190.887
2300 168.176 51.317 159.805 73.228 196.131 41.647 76.558 42.518 61.683 194.813
2350 174.012 51.535 163.681 74.055 200.198 42.391 80.988 43.501 65.652 199.795
2400 179.319 53.443 168.382 74.186 205.468 42.711 86.748 46.088 69.952 205.665
2450 183.348 54.799 174.165 75.276 211.325 43.161 92.296 47.427 75.451 210.807
2500 187.568 55.882 179.602 75.09 216.146 43.833 96.414 49.46 81.218 214.76
2550 193.031 56.028 183.701 76.208 220.027 45.436 100.533 54.736 85.027 219.109
2600 198.818 56.472 187.839 78.891 224.655 45.328 104.338 59.551 85.874 224.697
2650 203.4 57.282 193.188 79.542 230.418 46.234 104.943 63.426 88.255 230.398
2700 207.294 57.765 199.024 80.508 235.903 46.07 105.474 68.071 91.947 234.821
2750 212.142 57.858 203.742 81.125 240.063 47.001 106.41 73.826 95.833 238.755
2800 217.986 59.421 207.619 81.301 244.146 47.841 111.62 79.317 100.653 243.764
2850 223.266 61.533 212.347 82.356 249.441 48.938 116.568 83.459 106.457 249.637
2900 227.28 62.341 218.14 84.636 255.293 49.067 120.446 87.557 111.282 254.751
2950 231.522 63.056 223.553 85.929 260.085 49.367 124.994 92.853 112.877 258.694
3000 237.006 63.133 227.634 86.845 263.964 50.524 130.677 98.704 114.425 263.066
3050 242.781 63.511 231.79 88.037 268.618 51.714 136.274 103.489 119.444 268.672
3100 247.335 64.418 237.162 89.306 274.393 51.991 140.496 107.363 125.301 274.357
3150 251.234 66.037 242.99 92.823 279.856 53.334 144.535 112.034 130.428 278.754
3200 256.11 67.781 247.678 93.979 283.995 53.949 149.758 117.801 134.336 282.699
3250 261.96 68.574 251.557 99.486 288.096 55.206 155.621 123.269 138.753 287.734
3300 267.213 68.985 256.311 105.094 293.415 55.354 160.479 127.391 144.435 293.609
3350 271.213 69.364 262.115 109.32 299.26 55.815 164.351 131.507 150.061 298.694
3400 275.476 69.751 267.502 113.358 304.022 56.768 168.969 136.826 154.269 302.627
3450 280.981 70.716 271.566 118.539 307.901 56.96 174.697 142.671 158.318 307.023
3500 286.743 71.747 275.741 124.406 312.582 57.898 180.228 147.426 163.52 312.648
3550 291.27 73.746 281.136 129.332 318.368 57.092 184.389 151.301 169.386 318.316
3600 295.175 74.651 286.955 133.208 323.807 59.421 188.472 155.997 174.285 322.687
3650 300.077 75.548 291.614 137.774 327.927 59.508 193.731 161.776 178.158 326.642
3700 305.933 75.86 295.496 143.467 332.045 59.344 199.59 167.22 182.745 331.704
3750 311.159 76.375 300.276 149.049 337.389 60.397 202.373 171.323 188.452 337.58
3800 315.146 78.47 306.09 153.254 343.226 60.974 202.526 175.457 194.015 342.637
3850 319.43 77.796 311.452 157.305 347.96 61.656 203.206 180.799 198.201 346.561
3900 324.957 80.475 315.498 162.511 351.838 61.904 205.475 186.638 202.266 350.981
3950 330.705 81.802 319.693 168.376 356.546 62.614 206.89 191.363 207.492 356.624
4000 335.204 82.165 325.11 173.271 362.343 64.528 211.934 195.239 213.355 362.274
50 -1.564 2.508 4.327 2.914 3.904 -2.976 3.26 2.68 3.586 4.143
100 1.206 6.679 3.898 8.725 4.724 -2.194 9.012 3.532 4.488 9.539
150 1.442 8.696 3.995 13.331 3.963 -0.115 14.514 4.375 4.294 15.357
200 3.058 9.314 4.748 17.22 5.712 -0.249 18.695 3.693 7.893 20.025
250 2.949 10.073 5.833 22.048 5.628 1.318 22.762 5.74 8.504 23.339
300 3.485 13.173 6.084 27.882 6.81 2.451 23.877 7.763 10.993 22.669
350 4.425 14.182 7.478 33.189 8.801 3.058 22.939 9.225 16.326 22.265
400 4.104 15.436 8.776 37.212 9.036 3.049 23.174 9.808 22.166 23.753
450 5.553 16.031 9.453 41.439 9.578 3.94 27.334 10.747 26.914 27.226
500 6.419 17.456 9.921 46.904 9.965 3.59 27.669 10.889 28.506 28.546
550 6.404 22.338 9.966 52.689 10.162 4.165 28.232 13.162 28.663 28.846
600 7.646 28.18 10.193 57.265 10.497 6.445 30.452 13.524 28.862 31.589
650 9.127 33.441 10.304 61.159 10.845 7.28 28.209 16.231 28.967 34.048
700 9.457 37.427 10.817 66.015 10.639 8.888 29.34 20.992 30.345 35.61
750 10.037 41.705 12.537 71.858 12.603 9.462 33.769 24.918 35.495 40.63
800 10.188 47.232 12.18 77.136 12.239 9.854 34.503 29.331 41.371 41.092
850 11.902 52.981 10.781 81.143 15.173 9.728 37.84 34.987 43.652 41.264
900 12.627 57.465 13.189 85.392 15.611 10.707 41.959 40.628 47.81 42.514
950 13.508 61.382 14.939 90.879 16.241 10.141 43.586 44.955 53.281 47.451
1000 14.414 66.324 15.216 96.652 16.45 10.648 43.454 48.931 57.433 52.502
1050 15.603 72.181 16.072 101.2 17.673 11.783 46.11 54.038 61.521 56.42
1100 15.799 73.128 16.374 105.1 16.854 13.885 47.29 59.913 66.839 60.852
1150 16.732 78.399 16.518 109.983 17.528 14.628 52.29 64.922 72.684 66.495
1200 16.349 83.223 17.098 115.832 18.769 15.69 56.332 68.831 77.453 72.145
1250 18.591 87.096 18.875 121.082 20.445 15.959 60.521 73.295 81.335 76.478
1300 18.27 91.738 19.889 125.076 21.372 16.638 65.728 78.965 86.003 80.451
1350 19.774 97.484 20.287 129.346 22.417 16.794 66.042 84.585 91.795 85.548
1400 20.349 102.987 22.614 134.854 23.23 17.441 68.636 88.888 97.231 91.422
1450 22.116 107.129 22.762 140.615 23.124 16.953 73.161 92.876 101.365 96.444
1500 21.857 111.227 23.289 145.134 23.016 18.792 78.827 98.009 105.471 100.353
1550 22.671 116.514 23.933 149.041 24.482 20.686 84.445 103.884 110.813 104.811
1600 23.533 122.367 25.577 153.95 27.081 21.317 88.689 108.863 116.65 110.471
1650 24.816 127.161 26.662 159.805 27.391 22.325 92.715 112.766 121.391 116.102
1700 25.585 131.034 28.261 165.028 29.25 22.44 97.877 117.254 125.272 120.411
1750 26.472 135.701 28.955 169.008 29.201 23.556 103.745 122.941 129.968 124.396
1800 27.663 141.46 29.093 173.301 30.223 23.34 108.695 128.541 135.77 129.519
1850 28.62 146.939 29.364 178.829 33.269 25.109 112.572 132.821 141.182 135.393
1900 29.151 151.061 30.05 184.576 33.253 26.643 117.121 136.821 145.297 140.385
1950 29.124 155.177 31.238 189.068 35.455 27.627 122.793 141.98 149.421 144.288
2000 30.87 160.487 31.512 192.982 35.426 28.667 128.399 147.854 154.787 148.771
2050 30.826 166.335 32.913 197.918 35.959 28.763 132.644 152.804 160.616 154.447
2100 32.181 171.098 34.811 203.778 41.283 29.038 136.669 156.701 165.328 160.058
2150 32.731 174.971 35.126 208.974 45.683 30.006 141.832 161.215 169.21 164.343
2200 33.878 179.664 35.295 212.941 49.626 30.866 147.7 166.917 173.932 168.341
2250 34.361 185.435 35.74 217.257 54.66 32.444 152.649 172.497 179.744 173.49
2300 35.052 190.891 36.743 222.804 60.537 33.333 156.527 176.753 185.133 179.363
2350 36.09 194.993 35.374 228.538 65.626 34.537 161.065 180.767 189.229 184.326
2400 35.835 199.127 36.054 233.002 68.333 34.693 166.749 185.952 193.372 188.223
2450 37.041 204.439 37.012 236.924 73.475 34.946 172.356 191.823 198.761 192.731
2500 36.798 210.288 37.848 241.887 79.34 35.283 176.566 196.744 204.581 198.46
2550 39.188 215.055 39.236 247.751 84.323 36.065 180.613 200.636 209.265 204.016
2600 39.129 218.929 41.04 252.919 88.231 36.011 185.82 205.175 213.148 208.229
2650 40.9 223.617 41.44 256.875 92.709 35.869 191.447 210.892 217.897 212.272
2700 40.752 229.387 41.674 261.212 98.397 38.179 194.9 216.452 223.719 217.499
2750 41.228 234.845 41.85 266.78 103.997 39.018 199.123 220.686 229.082 223.364
2800 43.012 238.952 44.261 272.498 108.286 40.486 200.871 224.714 233.162 228.236
2850 41.788 243.082 44.238 276.936 112.28 41.271 200.795 229.924 237.323 232.118
2900 41.642 248.412 45.933 280.866 117.435 41.425 202.453 235.792 242.736 236.706
2950 43.401 254.255 47.656 285.856 123.31 41.86 204.63 240.684 248.546 242.442
3000 43.358 258.992 47.889 291.723 128.264 42.659 206.36 244.572 253.202 247.97
3050 43.99 262.867 48.311 296.863 132.165 43.548 210.636 249.137 257.086 252.161
3100 45.258 267.581 49.75 300.808 136.669 45.554 216.153 254.868 261.863 256.22
3150 45.186 273.363 50.977 305.169 142.373 46.34 221.922 260.406 267.693 261.471
3200 47.359 278.796 52.053 310.755 147.953 47.633 224.551 264.618 273.032 267.332
3250 46.798 282.884 54.128 316.458 152.218 47.987 229.27 268.661 277.094 272.175
3300 47.334 287.032 54.228 320.87 156.226 48.176 235.004 273.897 281.275 276.055
3350 47.903 292.386 54.419 324.809 161.407 50.59 240.488 279.761 286.711 280.668
3400 50.451 298.221 56.478 329.825 167.279 51.768 244.511 284.623 292.51 286.418
3450 49.887 302.929 57.804 335.696 172.204 53.163 248.094 288.508 297.138 291.923
3500 49.569 306.805 59.361 340.807 176.101 53.811 248.206 293.098 301.025 296.093
3550 51.447 311.545 60.627 344.742 180.63 54.076 250.722 298.844 305.829 300.168
3600 51.605 317.338 60.648 349.126 186.349 55.01 255.307 304.36 311.668 305.444
3650 52.742 322.747 61.125 354.731 191.908 54.979 261.003 308.55 316.98 311.3
3700 53.41 326.816 63.607 360.417 196.151 56.007 263.869 312.609 321.026 316.113
3750 53.653 330.984 64.675 364.803 200.173 58.136 264.2 317.87 325.227 319.991
3800 54.461 336.36 66.731 368.753 205.379 59.74 266.699 323.729 330.685 324.631
3850 54.701 342.187 67.046 373.795 211.248 60.253 267.826 328.562 336.474 330.393
3900 56.207 346.865 67.272 379.667 216.145 60.71 273.148 332.444 341.074 335.876
3950 55.609 350.744 70.497 384.75 220.036 62.804 278.992 337.061 344.965 340.025
4000 56.632 355.51 71.514 388.675 224.591 64.587 283.7 342.819 349.796 344.117
