1 1064 54 -0.445 353 509 -2.246 649 234 -0.131 842 439 2.65 766 581 -1.139 507 564 0.564 861 214 1.07 590 483 -1.882 119 272 -0.653 934 114 -3.091
51 1066 93 4.437 390 498 2.636 635 278 3.368 769 383 5.162 793 581 3.743 475 554 5.448 800 281 2 504 436 -2.929 184 200 -0.909 950 79 1.792
101 1090 89 9.321 285 510 2.776 514 261 2.915 855 366 6.883 809 556 8.627 491 571 10.331 846 316 0.361 458 349 -1.207 256 101 -0.571 867 107 3.118
151 1091 65 14.205 268 586 2.323 395 249 3.845 952 442 7.22 794 537 13.511 512 559 15.215 834 361 3.663 533 329 1.303 356 81 1.939 753 136 3.455
201 1067 60 19.089 174 562 3.648 325 180 4.38 972 539 8.941 772 548 18.395 448 508 16.739 719 327 4 593 409 0.85 305 163 2.079 697 57 5.769
251 1058 83 23.973 54 547 3.986 310 70 5.112 893 537 12.244 780 571 23.279 388 400 17.471 667 224 4.535 624 506 1.78 247 259 2.416 739 106 8.083
301 1079 95 28.856 28 454 5.114 402 10 5.45 897 561 17.128 838 510 25.593 436 382 20.378 715 126 6.059 567 516 4.094 150 331 3.544 691 157 11.583
351 1095 77 33.74 17 351 6.044 512 43 6.182 921 560 22.011 871 584 28.302 503 467 19.134 835 134 6.791 500 414 4.629 42 283 4.079 709 173 16.467
401 1079 58 38.624 124 319 5.986 624 52 7.903 925 536 26.895 771 526 29.035 595 543 20.065 919 204 8.512 516 295 5.362 10 173 4.614 728 158 21.351
451 1058 70 43.508 236 344 6.719 620 165 7.845 902 529 31.779 740 423 31.151 548 562 22.181 884 312 6.873 611 245 6.885 41 54 5.347 716 137 26.235
501 1067 93 48.392 313 410 9.033 579 245 9.566 890 550 36.663 753 471 33.86 435 521 22.518 934 384 9.187 664 324 8.606 135 28 6.475 693 145 31.118
551 1091 89 53.275 225 486 7.986 457 233 9.311 910 565 41.547 662 548 33.802 340 445 22.658 822 391 9.722 586 411 8.548 246 68 6.812 698 169 36.002
601 1090 65 58.159 199 584 10.3 339 219 10.241 927 548 46.43 599 545 37.698 312 355 25.763 726 321 10.455 603 500 8.292 323 126 8.731 727 173 38.909
651 1067 61 63.043 125 522 10.44 314 120 12.16 914 528 51.314 596 569 42.582 407 390 25.309 674 214 11.78 545 480 10.606 236 208 8.673 694 227 41.619
701 1059 83 67.927 56 432 11.963 423 66 12.299 892 537 56.198 619 576 47.465 475 417 26.635 757 194 13.106 520 381 10.944 166 308 9.405 664 125 43.142
751 1080 95 72.81 59 355 9.533 521 90 14.218 897 561 61.082 630 555 52.349 541 497 26.577 830 281 12.653 542 263 11.676 59 278 10.138 727 142 45.654
801 1095 76 77.694 54 310 13.231 563 167 11.393 922 560 65.966 633 548 57.233 555 588 28.298 837 351 15.362 635 250 13.397 11 177 10.871 696 237 48.165
851 1079 58 82.578 147 375 12.184 604 184 15.486 924 536 70.849 619 565 62.117 444 559 28.437 736 353 17.083 634 354 14.525 57 74 12.987 718 228 53.049
901 1058 71 87.462 247 351 13.115 492 221 15.428 901 529 75.733 633 586 67.001 324 548 28.379 742 243 18.606 591 466 14.467 155 126 13.127 714 196 56.945
951 1067 93 92.346 251 440 14.638 371 226 15.963 891 550 80.617 655 576 71.884 257 484 29.507 767 300 20.92 525 467 16.979 239 102 12.278 707 223 61.828
1001 1091 88 97.229 232 532 12.999 304 143 17.881 910 565 85.501 624 517 74.198 273 384 31.624 776 398 21.851 505 346 17.119 274 160 14.592 726 238 66.712
1051 1090 64 102.113 243 578 15.115 399 136 18.219 927 548 90.385 680 408 74.733 384 385 31.17 775 375 26.735 514 223 17.851 214 263 15.127 745 222 71.596
1101 1066 61 106.997 140 580 17.034 458 177 20.73 914 528 95.268 761 398 76.85 469 446 31.903 733 384 29.839 612 189 19.177 112 273 17.243 732 201 76.48
