1 6.65345e+06 0 0
51 6.60508e+06 8.42348e+09 0
101 6.50474e+06 3.3171e+10 0
151 6.35226e+06 7.35683e+10 0
201 5.967e+06 1.27085e+11 0
251 5.97491e+06 1.94259e+11 3
301 5.88528e+06 2.75788e+11 3
351 5.6329e+06 3.70483e+11 5
401 5.64909e+06 4.76021e+11 9
451 5.64752e+06 5.95614e+11 9
501 5.94532e+06 7.3363e+11 14
551 5.7091e+06 8.86878e+11 53
601 5.38141e+06 1.04692e+12 53
651 4.84226e+06 1.206e+12 53
701 4.51452e+06 1.36364e+12 53
751 4.69899e+06 1.53074e+12 53
801 5.03714e+06 1.71929e+12 53
851 5.02136e+06 1.92742e+12 88
901 4.98752e+06 2.14523e+12 94
951 5.13797e+06 2.38026e+12 105
1001 5.04366e+06 2.62935e+12 137
1051 4.77483e+06 2.87984e+12 137
1101 4.53161e+06 3.13001e+12 137
1151 4.29509e+06 3.37902e+12 137
1201 4.38661e+06 3.63171e+12 137
1251 4.48641e+06 3.90293e+12 137
1301 4.44967e+06 4.18687e+12 139
1351 4.51233e+06 4.48493e+12 145
1401 4.29912e+06 4.79077e+12 145
1451 4.15188e+06 5.09055e+12 147
1501 4.31269e+06 5.40349e+12 147
1551 4.3574e+06 5.73425e+12 153
1601 4.31652e+06 6.07399e+12 153
1651 4.19221e+06 6.42086e+12 153
1701 4.18736e+06 6.77208e+12 153
1751 4.24806e+06 7.13592e+12 153
1801 4.23263e+06 7.51437e+12 153
1851 4.08365e+06 7.8929e+12 153
1901 4.15893e+06 8.27996e+12 156
1951 4.20878e+06 8.68377e+12 156
2001 4.2564e+06 9.10089e+12 156
2051 4.2068e+06 9.5309e+12 156
2101 4.02953e+06 9.95656e+12 156
2151 3.89836e+06 1.03823e+13 156
2201 3.81872e+06 1.07996e+13 156
2251 3.85505e+06 1.12247e+13 156
2301 3.96402e+06 1.16708e+13 163
2351 4.03237e+06 1.21372e+13 196
2401 4.08025e+06 1.26202e+13 239
2451 4.11594e+06 1.31169e+13 239
2501 4.03015e+06 1.36198e+13 239
2551 4.0312e+06 1.4128e+13 239
2601 4.05699e+06 1.4652e+13 239
2651 4.01876e+06 1.51822e+13 239
2701 3.96172e+06 1.57136e+13 239
2751 3.88481e+06 1.62487e+13 242
2801 3.93362e+06 1.67915e+13 242
2851 3.96382e+06 1.73476e+13 242
2901 3.99841e+06 1.79176e+13 245
2951 3.96639e+06 1.85033e+13 245
3001 3.94089e+06 1.90933e+13 245
3051 3.92978e+06 1.96897e+13 245
3101 3.88089e+06 2.02868e+13 245
3151 3.86006e+06 2.08918e+13 248
3201 3.88946e+06 2.1508e+13 256
3251 4.00665e+06 2.21466e+13 259
3301 4.03149e+06 2.28032e+13 259
3351 4.01033e+06 2.34719e+13 259
3401 3.97144e+06 2.41477e+13 259
3451 3.88829e+06 2.48239e+13 259
3501 3.86067e+06 2.54944e+13 259
3551 3.86692e+06 2.61719e+13 259
3601 3.90036e+06 2.68657e+13 259
3651 3.9566e+06 2.75808e+13 259
3701 3.97005e+06 2.83106e+13 259
3751 4.00275e+06 2.90513e+13 259
3801 3.93537e+06 2.97984e+13 262
3851 3.8893e+06 3.05495e+13 262
3901 3.90199e+06 3.13081e+13 289
3951 3.93118e+06 3.20731e+13 318
