1 682 279 0.151 546 222 -1.061 1127 50 -3.136 1038 156 -1.149 1002 351 -2.704 1120 541 -2.459 68 475 0.803 516 63 -0.975 963 166 -0.515 885 118 0.208
51 763 312 1.872 487 215 -3.688 1141 31 1.746 1065 184 3.734 911 313 -3.355 1132 451 -0.145 33 530 4.699 545 108 2.128 968 205 4.368 855 159 3.51
101 729 421 2.21 444 187 0.404 1118 27 6.63 1029 113 6.838 808 318 -1.041 1146 490 2.959 76 438 5.233 486 212 2.466 991 199 9.252 735 142 3.057
151 654 514 2.349 556 203 -1.037 1095 64 9.537 1014 131 11.722 899 290 0.283 1029 510 2.901 50 354 4.78 377 268 3.001 990 175 14.135 640 100 5.766
201 557 527 4.663 599 132 1.276 976 67 10.468 1030 149 16.606 999 356 1.214 982 585 2.645 36 255 3.734 272 226 4.326 966 172 19.019 738 77 5.51
251 593 433 5.791 560 166 5.369 995 56 15.351 1051 137 21.49 989 448 2.935 957 506 5.157 66 201 6.443 267 128 6.245 957 196 23.112 840 14 6.441
301 676 348 4.943 577 183 10.253 989 32 20.235 1042 114 26.373 935 530 1.888 1040 441 7.669 178 237 6.978 383 115 6.187 889 96 23.252 852 65 9.15
351 730 258 6.861 598 170 14.346 965 33 25.119 1018 119 31.257 858 533 3.807 998 455 11.96 226 341 7.908 498 90 6.326 913 22 26.752 737 106 8.697
401 761 343 7.001 554 188 18.637 962 58 30.003 1019 143 36.141 793 441 4.737 1009 476 16.843 189 457 8.839 516 162 8.641 971 96 26.101 657 194 8.441
451 790 412 7.931 590 240 20.358 986 64 34.887 1043 147 41.025 826 358 5.272 1032 469 21.727 115 427 11.153 443 180 12.141 946 183 27.427 568 254 11.348
501 718 444 10.245 612 352 20.3 996 42 39.77 1050 124 45.909 924 332 6.993 1029 445 26.611 80 330 10.502 452 225 15.048 868 275 27.171 533 161 10.499
551 648 441 7.024 586 463 21.428 977 28 44.654 1029 113 50.792 984 434 7.726 1005 444 31.495 128 266 11.827 350 293 15.385 800 292 29.88 530 48 12.22
601 627 498 10.524 478 521 21.963 959 45 49.538 1014 132 55.676 931 510 9.249 1000 468 36.379 216 305 13.944 232 322 16.118 804 170 30.02 629 71 13.151
651 553 438 9.083 361 504 23.091 973 65 54.422 1031 150 60.56 825 552 9.587 1022 477 41.262 198 380 14.676 186 289 16.455 854 71 31.939 736 125 13.686
701 541 398 12.385 282 440 24.416 995 55 59.306 1051 136 65.444 766 491 11.308 1035 456 46.146 138 363 16.397 155 190 17.583 921 141 33.462 695 208 15.209
751 652 359 12.129 372 377 24.754 989 32 64.189 1041 114 70.328 794 372 11.052 1017 440 51.03 159 283 19.107 192 89 18.316 878 251 33.404 604 286 15.546
801 759 299 12.862 487 341 24.893 965 34 69.073 1018 120 75.211 835 273 12.378 998 455 55.914 211 368 21.025 298 34 18.455 806 302 35.323 500 251 16.872
851 785 395 14.188 559 389 27.01 963 58 73.957 1019 144 80.095 909 321 14.494 1010 476 60.798 173 353 24.328 397 46 20.769 716 243 34.672 429 151 16.814
901 767 516 14.92 489 483 28.138 986 64 78.841 1043 146 84.979 872 419 13.645 1033 468 65.681 254 323 27.433 358 157 20.909 709 171 37.183 414 34 18.14
951 678 526 16.641 370 477 28.87 996 42 83.725 1050 123 89.863 841 520 15.959 1029 444 70.565 238 305 32.316 321 276 21.049 804 184 38.509 512 31 19.07
1001 601 435 16.583 375 386 30.394 976 28 88.608 1028 113 94.747 753 472 17.878 1004 444 75.449 218 318 37.2 227 344 22.176 871 245 40.428 629 59 19.012
1051 531 339 17.118 442 287 31.126 959 46 93.492 1014 132 99.63 807 367 17.82 1000 468 80.333 227 340 42.084 133 281 22.909 764 275 40.765 683 126 20.931
1101 605 297 19.037 518 343 32.452 974 65 98.376 1031 150 104.514 888 336 21.122 1023 476 85.217 250 335 46.968 164 204 25.026 681 238 43.277 646 238 20.082
1151 719 284 18.979 504 425 35.952 995 55 103.26 1051 136 109.398 871 438 20.867 1035 455 90.1 249 311 51.852 250 149 23.979 779 194 44.8 586 309 22.001
1201 773 360 20.305 512 326 37.673 988 31 108.143 1041 114 114.282 788 444 22.39 1016 440 94.984 226 308 56.735 330 71 24.909 781 287 46.126 472 276 23.129
1251 739 475 21.235 512 348 42.557 964 34 113.027 1017 120 119.166 759 359 24.111 998 456 99.868 218 331 61.619 366 140 27.026 720 281 48.637 412 171 22.873
1301 655 457 22.758 535 355 47.441 963 58 117.911 1020 144 124.049 835 280 26.227 1010 477 104.752 240 342 66.503 333 260 27.165 681 166 48.382 372 57 23.803
1351 551 408 22.898 545 333 52.324 987 64 122.795 1044 146 128.933 850 375 27.158 1033 468 109.636 246 311 71.387 255 336 29.282 718 82 50.3 461 27 25.327
1401 545 339 24.421 531 300 57.208 996 41 127.679 1050 123 133.817 809 471 28.879 1028 444 114.519 200 261 76.271 215 276 29.619 781 158 51.626 579 44 25.269
1451 640 294 25.352 536 392 58.929 976 28 132.562 1028 113 138.701 736 400 30.402 1004 445 119.403 156 254 81.154 218 195 30.747 802 275 52.161 650 95 27.187
1501 742 310 25.689 440 378 61.441 959 46 137.446 1014 133 143.585 785 308 31.332 1000 469 124.287 165 276 86.038 312 124 31.084 758 268 54.475 616 209 26.536
1551 740 399 27.015 487 302 64.15 974 65 142.33 1032 150 148.468 829 367 32.46 1023 476 129.171 189 270 90.922 353 188 33.201 690 170 54.219 595 314 28.06
1601 662 462 29.329 464 305 69.034 995 54 147.214 1051 135 153.352 778 411 35.17 1035 455 134.054 187 246 95.806 311 303 33.933 646 72 56.336 484 298 29.188
1651 585 442 27.492 439 339 73.918 988 31 152.098 1040 114 158.236 760 329 37.286 1016 440 138.938 163 243 100.69 256 272 36.643 742 83 57.464 411 217 29.129
